airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,827976,7231,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEBL,255810,2647,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGLL,79371,724,LHR,51.4706,-0.461941,London Heathrow Airport
LEZL,65364,581,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
