airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
EGSS,215371,1326,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EGKK,174699,1206,LGW,51.148102,-0.190278,London Gatwick Airport
EGBB,134877,929,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EGNX,123069,737,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGGP,118144,722,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
EGGW,114110,726,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
EIDW,98837,596,DUB,53.421299,-6.27007,Dublin Airport
EGNM,90770,546,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
EGNT,89182,564,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EGGD,87767,680,BRS,51.382702,-2.71909,Bristol Airport
LEMD,86196,2052,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EDFH,84614,598,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
EGCC,78893,592,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGPH,51879,454,EDI,55.95000076293945,-3.372499942779541,Edinburgh Airport
EGPK,49195,310,PIK,55.5093994140625,-4.586669921875,Glasgow Prestwick Airport
LEBL,47819,1377,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGAA,47349,345,BFS,54.6575012207,-6.21582984924,Belfast International Airport
LEPA,41140,415,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EINN,40273,264,SNN,52.702,-8.92482,Shannon Airport
EBBR,37738,354,BRU,50.9014015198,4.48443984985,Brussels Airport
EDDW,32360,238,BRE,53.0475006104,8.78666973114,Bremen Airport
EGFF,29924,252,CWL,51.39670181274414,-3.343329906463623,Cardiff International Airport
EGNH,26776,242,BLK,53.77170181274414,-3.0286099910736084,Blackpool International Airport
ENGM,20210,153,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
