airpt_arr,pax2002,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEBL,1459097,LEPA,39.551700591999996,2.73881006241,41.2971,2.0784599999999998
LEMD,1419431,LEPA,39.551700591999996,2.73881006241,40.471926,-3.56264
EDDL,943873,LEPA,39.551700591999996,2.73881006241,51.289501,6.766780000000001
EGKK,879265,LEPA,39.551700591999996,2.73881006241,51.148102,-0.190278
EGCC,788712,LEPA,39.551700591999996,2.73881006241,53.35369873046875,-2.2749500274658203
EDDF,601428,LEPA,39.551700591999996,2.73881006241,50.033333,8.570556
EDDH,471135,LEPA,39.551700591999996,2.73881006241,53.630401611328004,9.988229751586902
EDDK,394161,LEPA,39.551700591999996,2.73881006241,50.865898132299996,7.1427397728
EDDV,376592,LEPA,39.551700591999996,2.73881006241,52.461101532,9.68507957458
EDDM,354405,LEPA,39.551700591999996,2.73881006241,48.353802,11.7861
EGBB,341357,LEPA,39.551700591999996,2.73881006241,52.4538993835,-1.7480299472799998
EDDS,331015,LEPA,39.551700591999996,2.73881006241,48.6898994446,9.22196006775
EGPF,312257,LEPA,39.551700591999996,2.73881006241,55.8718986511,-4.43306016922
EDLP,311287,LEPA,39.551700591999996,2.73881006241,51.614101409899995,8.616319656369999
EDDG,309767,LEPA,39.551700591999996,2.73881006241,52.134601593,7.68483018875
EGNX,295556,LEPA,39.551700591999996,2.73881006241,52.8311004639,-1.32806003094
EDDT,291775,LEPA,39.551700591999996,2.73881006241,52.5597,13.2877
LEIB,280435,LEPA,39.551700591999996,2.73881006241,38.8728981018,1.3731199502899998
EGGW,278840,LEPA,39.551700591999996,2.73881006241,51.87469863891602,-0.36833301186561584
LEVC,276968,LEPA,39.551700591999996,2.73881006241,39.4893,-0.481625
LEMH,259782,LEPA,39.551700591999996,2.73881006241,39.86259841918945,4.2186498641967765
EGSS,231090,LEPA,39.551700591999996,2.73881006241,51.8849983215,0.23499999940400002
EDDN,230272,LEPA,39.551700591999996,2.73881006241,49.498699,11.078056
LEAL,228240,LEPA,39.551700591999996,2.73881006241,38.28219985961914,-0.5581560134887695
EGGP,225117,LEPA,39.551700591999996,2.73881006241,53.33359909057617,-2.849720001220703
EIDW,213685,LEPA,39.551700591999996,2.73881006241,53.421299,-6.27007
EGGD,210461,LEPA,39.551700591999996,2.73881006241,51.382702,-2.71909
EGNT,197695,LEPA,39.551700591999996,2.73881006241,55.037498474121094,-1.6916699409484863
EHAM,192483,LEPA,39.551700591999996,2.73881006241,52.308601,4.76389
LSZH,175013,LEPA,39.551700591999996,2.73881006241,47.464698999999996,8.54917
EDDW,166543,LEPA,39.551700591999996,2.73881006241,53.0475006104,8.78666973114
EGFF,165712,LEPA,39.551700591999996,2.73881006241,51.39670181274414,-3.343329906463623
EDLW,157052,LEPA,39.551700591999996,2.73881006241,51.518299102799986,7.61223983765
ESSA,148236,LEPA,39.551700591999996,2.73881006241,59.651901245116996,17.918600082397
LEZL,147202,LEPA,39.551700591999996,2.73881006241,37.41799926757813,-5.8931097984313965
LEMG,140049,LEPA,39.551700591999996,2.73881006241,36.67490005493164,-4.499110221862793
EDDP,134873,LEPA,39.551700591999996,2.73881006241,51.423889,12.236388999999999
EBBR,128903,LEPA,39.551700591999996,2.73881006241,50.9014015198,4.48443984985
EGAA,100569,LEPA,39.551700591999996,2.73881006241,54.6575012207,-6.21582984924
EDDB,98921,LEPA,39.551700591999996,2.73881006241,52.380001,13.5225
ELLX,96912,LEPA,39.551700591999996,2.73881006241,49.6233333,6.204444400000001
EGNM,95052,LEPA,39.551700591999996,2.73881006241,53.86589813232422,-1.6605700254440308
EDDR,94151,LEPA,39.551700591999996,2.73881006241,49.2145996094,7.10950994492
EKCH,93494,LEPA,39.551700591999996,2.73881006241,55.617900848389,12.656000137328999
LEBB,88255,LEPA,39.551700591999996,2.73881006241,43.30110168457031,-2.9106099605560303
LEGR,82745,LEPA,39.551700591999996,2.73881006241,37.18870162963867,-3.777359962463379
ESGG,81131,LEPA,39.551700591999996,2.73881006241,57.662799835205,12.279800415039
EGPH,79395,LEPA,39.551700591999996,2.73881006241,55.95000076293945,-3.372499942779541
EDDC,76585,LEPA,39.551700591999996,2.73881006241,51.1328010559082,13.767200469970705
EGLL,76032,LEPA,39.551700591999996,2.73881006241,51.4706,-0.461941
