airpt,value,airpt_lat,airpt_lon
GCLP,587641,27.931900024414066,-15.38659954071045
LEMD,384535,40.471926,-3.56264
GCXO,217843,28.4827003479,-16.341499328599998
EDDL,201923,51.289501,6.766780000000001
EGCC,183062,53.35369873046875,-2.2749500274658203
EGKK,166776,51.148102,-0.190278
EDDF,160188,50.033333,8.570556
EIDW,111332,53.421299,-6.27007
EDDH,106185,53.630401611328004,9.988229751586902
EDDV,103083,52.461101532,9.68507957458
EHAM,102641,52.308601,4.76389
EDDM,99543,48.353802,11.7861
EGBB,98737,52.4538993835,-1.7480299472799998
EDDS,96626,48.6898994446,9.22196006775
EDDN,89914,49.498699,11.078056
EDDK,89747,50.865898132299996,7.1427397728
EGNX,66767,52.8311004639,-1.32806003094
EDLV,66505,51.6024017334,6.14216995239
LIMC,63658,45.6306,8.728110000000001
EGPF,57930,55.8718986511,-4.43306016922
EDDT,56682,52.5597,13.2877
EDLP,50340,51.614101409899995,8.616319656369999
LEBB,45309,43.30110168457031,-2.9106099605560303
EDDP,45156,51.423889,12.236388999999999
LFPG,44897,49.012798,2.55
EBBR,44231,50.9014015198,4.48443984985
EGGD,43414,51.382702,-2.71909
LEST,42661,42.89630126953125,-8.415140151977539
LIPX,40488,45.395699,10.8885
