airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
GCXO,414949,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
LEMD,99507,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
GCLP,83856,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
EDDM,42761,MUC,48.353802,11.7861,Munich Airport
EHAM,37226,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EDDL,34860,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EDDF,29610,FRA,50.033333,8.570556,Frankfurt am Main Airport
EDDH,23862,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
EDDS,22670,STR,48.6898994446,9.22196006775,Stuttgart Airport
