airpt_arr,pax2001,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,712648,LEST,42.89630126953125,-8.415140151977539,40.471926,-3.56264
LEBL,220032,LEST,42.89630126953125,-8.415140151977539,41.2971,2.0784599999999998
GCTS,66958,LEST,42.89630126953125,-8.415140151977539,28.044500351,-16.5725002289
LEPA,62585,LEST,42.89630126953125,-8.415140151977539,39.551700591999996,2.73881006241
EGLL,56965,LEST,42.89630126953125,-8.415140151977539,51.4706,-0.461941
LEBB,36240,LEST,42.89630126953125,-8.415140151977539,43.30110168457031,-2.9106099605560303
