airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEBL,802752,LEZL,37.41799926757813,-5.8931097984313965,41.2971,2.0784599999999998
LFPO,279984,LEZL,37.41799926757813,-5.8931097984313965,48.7233333,2.3794444
LEMD,238933,LEZL,37.41799926757813,-5.8931097984313965,40.471926,-3.56264
LEPA,198940,LEZL,37.41799926757813,-5.8931097984313965,39.551700591999996,2.73881006241
GCLP,178126,LEZL,37.41799926757813,-5.8931097984313965,27.931900024414066,-15.38659954071045
GCXO,156601,LEZL,37.41799926757813,-5.8931097984313965,28.4827003479,-16.341499328599998
LEBB,153042,LEZL,37.41799926757813,-5.8931097984313965,43.30110168457031,-2.9106099605560303
LEVC,151100,LEZL,37.41799926757813,-5.8931097984313965,39.4893,-0.481625
LIME,110534,LEZL,37.41799926757813,-5.8931097984313965,45.673901,9.70417
LIRA,104978,LEZL,37.41799926757813,-5.8931097984313965,41.7994,12.5949
EGSS,99368,LEZL,37.41799926757813,-5.8931097984313965,51.8849983215,0.23499999940400002
EBCI,98758,LEZL,37.41799926757813,-5.8931097984313965,50.459202000000005,4.4538199999999994
EGKK,97380,LEZL,37.41799926757813,-5.8931097984313965,51.148102,-0.190278
EHAM,70612,LEZL,37.41799926757813,-5.8931097984313965,52.308601,4.76389
LEST,69914,LEZL,37.41799926757813,-5.8931097984313965,42.89630126953125,-8.415140151977539
LECO,69801,LEZL,37.41799926757813,-5.8931097984313965,43.302101,-8.37726
LFOB,65819,LEZL,37.41799926757813,-5.8931097984313965,49.45439910888672,2.1127800941467285
LIPE,65766,LEZL,37.41799926757813,-5.8931097984313965,44.5354,11.2887
LEXJ,55232,LEZL,37.41799926757813,-5.8931097984313965,43.427101135253906,-3.82000994682312
LFBO,50882,LEZL,37.41799926757813,-5.8931097984313965,43.629101,1.36382
GCRR,48086,LEZL,37.41799926757813,-5.8931097984313965,28.945498999999998,-13.6052
LFML,42785,LEZL,37.41799926757813,-5.8931097984313965,43.439271921999996,5.22142410278
