airpt_arr,pax2002,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,138326,LEAM,36.84389877319336,-2.3701000213623047,40.471926,-3.56264
EGKK,97058,LEAM,36.84389877319336,-2.3701000213623047,51.148102,-0.190278
EBBR,80892,LEAM,36.84389877319336,-2.3701000213623047,50.9014015198,4.48443984985
EGCC,72643,LEAM,36.84389877319336,-2.3701000213623047,53.35369873046875,-2.2749500274658203
LEBL,71844,LEAM,36.84389877319336,-2.3701000213623047,41.2971,2.0784599999999998
EDDL,45212,LEAM,36.84389877319336,-2.3701000213623047,51.289501,6.766780000000001
LEPA,34293,LEAM,36.84389877319336,-2.3701000213623047,39.551700591999996,2.73881006241
EGBB,33866,LEAM,36.84389877319336,-2.3701000213623047,52.4538993835,-1.7480299472799998
EDDF,24921,LEAM,36.84389877319336,-2.3701000213623047,50.033333,8.570556
