airpt,value,airpt_lat,airpt_lon
LEMD,1764257,40.471926,-3.56264
LEBL,1513617,41.2971,2.0784599999999998
EDDL,900892,51.289501,6.766780000000001
EDDK,735313,50.865898132299996,7.1427397728
EDDF,602517,50.033333,8.570556
EGCC,577029,53.35369873046875,-2.2749500274658203
EGKK,576095,51.148102,-0.190278
EDDH,568690,53.630401611328004,9.988229751586902
EDDS,553219,48.6898994446,9.22196006775
EDDM,519769,48.353802,11.7861
LEVC,477815,39.4893,-0.481625
EDDV,470965,52.461101532,9.68507957458
EDDT,423280,52.5597,13.2877
LEAL,382539,38.28219985961914,-0.5581560134887695
LEIB,342685,38.8728981018,1.3731199502899998
LSZH,327404,47.464698999999996,8.54917
LEZL,321816,37.41799926757813,-5.8931097984313965
EGBB,311653,52.4538993835,-1.7480299472799998
EGSS,306134,51.8849983215,0.23499999940400002
EDDG,295625,52.134601593,7.68483018875
LEMG,286278,36.67490005493164,-4.499110221862793
EDLW,271627,51.518299102799986,7.61223983765
LEMH,262368,39.86259841918945,4.2186498641967765
EGNT,259625,55.037498474121094,-1.6916699409484863
EGNX,258031,52.8311004639,-1.32806003094
EDDN,255511,49.498699,11.078056
EDLP,255096,51.614101409899995,8.616319656369999
EDDW,246488,53.0475006104,8.78666973114
EGGW,238210,51.87469863891602,-0.36833301186561584
EKCH,231653,55.617900848389,12.656000137328999
EDDP,222788,51.423889,12.236388999999999
LEBB,219686,43.30110168457031,-2.9106099605560303
EGPF,205829,55.8718986511,-4.43306016922
EGGP,200674,53.33359909057617,-2.849720001220703
EHAM,190373,52.308601,4.76389
LOWW,179707,48.110298156738004,16.569700241089002
EGGD,177142,51.382702,-2.71909
ESSA,153101,59.651901245116996,17.918600082397
EGNM,147131,53.86589813232422,-1.6605700254440308
EDDB,142131,52.380001,13.5225
EIDW,140374,53.421299,-6.27007
EGPH,133345,55.95000076293945,-3.372499942779541
LEST,127939,42.89630126953125,-8.415140151977539
EGAA,126352,54.6575012207,-6.21582984924
EDDC,116592,51.1328010559082,13.767200469970705
EDFH,115802,49.9487,7.263889999999999
LPPT,112206,38.7813,-9.13592
ENGM,111146,60.193901062011996,11.100399971008
EGFF,110715,51.39670181274414,-3.343329906463623
LPFR,110005,37.014400482199996,-7.965909957889999
LEAS,109058,43.5635986328125,-6.0346198081970215
EDLV,105453,51.6024017334,6.14216995239
LPPR,103586,41.248100280799996,-8.68138980865
EBBR,101457,50.9014015198,4.48443984985
EDSB,101158,48.7793998718,8.08049964905
LFPO,100930,48.7233333,2.3794444
LEGR,86273,37.18870162963867,-3.777359962463379
LOWS,84628,47.793300628699996,13.0043001175
EDDR,83951,49.2145996094,7.10950994492
EKBI,79308,55.7402992249,9.15178012848
