airpt_arr,pax2011,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,564388,LECO,43.302101,-8.37726,40.471926,-3.56264
LEBL,232421,LECO,43.302101,-8.37726,41.2971,2.0784599999999998
EGLL,84328,LECO,43.302101,-8.37726,51.4706,-0.461941
LEZL,63861,LECO,43.302101,-8.37726,37.41799926757813,-5.8931097984313965
EHAM,22336,LECO,43.302101,-8.37726,52.308601,4.76389
