airpt,value,airpt_lat,airpt_lon
LEMD,1061805,40.471926,-3.56264
LEPA,500849,39.551700591999996,2.73881006241
LFPG,344265,49.012798,2.55
LEZL,321762,37.41799926757813,-5.8931097984313965
EGSS,305399,51.8849983215,0.23499999940400002
LIMC,298921,45.6306,8.728110000000001
LEBL,224719,41.2971,2.0784599999999998
LIRF,178010,41.800277799999996,12.238888900000001
LFPO,169631,48.7233333,2.3794444
LEIB,153885,38.8728981018,1.3731199502899998
EHAM,151439,52.308601,4.76389
EBBR,134955,50.9014015198,4.48443984985
LEBB,114958,43.30110168457031,-2.9106099605560303
LIME,112784,45.673901,9.70417
LIRP,108697,43.683899,10.3927
EDFH,106412,49.9487,7.263889999999999
LIRA,104650,41.7994,12.5949
EGKK,97349,51.148102,-0.190278
EDDM,90447,48.353802,11.7861
EGLL,82329,51.4706,-0.461941
