airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEBL,76340,LEVD,41.7061004639,-4.85194015503,41.2971,2.0784599999999998
EGSS,64655,LEVD,41.7061004639,-4.85194015503,51.8849983215,0.23499999940400002
EBCI,63505,LEVD,41.7061004639,-4.85194015503,50.459202000000005,4.4538199999999994
GCTS,30963,LEVD,41.7061004639,-4.85194015503,28.044500351,-16.5725002289
LIME,27835,LEVD,41.7061004639,-4.85194015503,45.673901,9.70417
LEPA,16389,LEVD,41.7061004639,-4.85194015503,39.551700591999996,2.73881006241
EDLV,15936,LEVD,41.7061004639,-4.85194015503,51.6024017334,6.14216995239
