airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
GCXO,600077,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
GCLP,120217,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LEMD,102117,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EDDM,52592,MUC,48.353802,11.7861,Munich Airport
EHAM,44989,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EDDF,31855,FRA,50.033333,8.570556,Frankfurt am Main Airport
EDDL,24422,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EDDS,24340,STR,48.6898994446,9.22196006775,Stuttgart Airport
EDDN,23586,NUE,49.498699,11.078056,Nuremberg Airport
