airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
EGCC,910070,GCTS,28.044500351,-16.5725002289,53.35369873046875,-2.2749500274658203
EGKK,677908,GCTS,28.044500351,-16.5725002289,51.148102,-0.190278
LEMD,541702,GCTS,28.044500351,-16.5725002289,40.471926,-3.56264
EGBB,355406,GCTS,28.044500351,-16.5725002289,52.4538993835,-1.7480299472799998
EGPF,309656,GCTS,28.044500351,-16.5725002289,55.8718986511,-4.43306016922
LEBL,243659,GCTS,28.044500351,-16.5725002289,41.2971,2.0784599999999998
EBBR,219972,GCTS,28.044500351,-16.5725002289,50.9014015198,4.48443984985
EHAM,210458,GCTS,28.044500351,-16.5725002289,52.308601,4.76389
LEBB,209598,GCTS,28.044500351,-16.5725002289,43.30110168457031,-2.9106099605560303
EDDF,207690,GCTS,28.044500351,-16.5725002289,50.033333,8.570556
EDDL,176100,GCTS,28.044500351,-16.5725002289,51.289501,6.766780000000001
EDDM,167962,GCTS,28.044500351,-16.5725002289,48.353802,11.7861
EGGW,162760,GCTS,28.044500351,-16.5725002289,51.87469863891602,-0.36833301186561584
EGNT,158305,GCTS,28.044500351,-16.5725002289,55.037498474121094,-1.6916699409484863
EGNX,134197,GCTS,28.044500351,-16.5725002289,52.8311004639,-1.32806003094
LEST,134145,GCTS,28.044500351,-16.5725002289,42.89630126953125,-8.415140151977539
EDDS,128925,GCTS,28.044500351,-16.5725002289,48.6898994446,9.22196006775
EGGD,123368,GCTS,28.044500351,-16.5725002289,51.382702,-2.71909
EDDH,122814,GCTS,28.044500351,-16.5725002289,53.630401611328004,9.988229751586902
EDDV,109579,GCTS,28.044500351,-16.5725002289,52.461101532,9.68507957458
EFHK,107817,GCTS,28.044500351,-16.5725002289,60.317199707031,24.963300704956
EIDW,101498,GCTS,28.044500351,-16.5725002289,53.421299,-6.27007
ESSA,100602,GCTS,28.044500351,-16.5725002289,59.651901245116996,17.918600082397
EDDN,100336,GCTS,28.044500351,-16.5725002289,49.498699,11.078056
EGSS,91355,GCTS,28.044500351,-16.5725002289,51.8849983215,0.23499999940400002
LEMG,90985,GCTS,28.044500351,-16.5725002289,36.67490005493164,-4.499110221862793
EKCH,90359,GCTS,28.044500351,-16.5725002289,55.617900848389,12.656000137328999
EGNM,88963,GCTS,28.044500351,-16.5725002289,53.86589813232422,-1.6605700254440308
EGAA,84060,GCTS,28.044500351,-16.5725002289,54.6575012207,-6.21582984924
ENGM,78475,GCTS,28.044500351,-16.5725002289,60.193901062011996,11.100399971008
