airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,288891,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LIME,278600,BGY,45.673901,9.70417,Il Caravaggio International Airport
LIRA,272912,CIA,41.7994,12.5949,Ciampino–G. B. Pastine International Airport
LFOB,233511,BVA,49.45439910888672,2.1127800941467285,Paris Beauvais Tillé Airport
EBCI,228652,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
EGSS,224501,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EDFH,181263,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
LEGR,165006,GRX,37.18870162963867,-3.777359962463379,Federico Garcia Lorca Airport
LPPR,147331,OPO,41.248100280799996,-8.68138980865,Francisco de Sá Carneiro Airport
EHEH,118410,EIN,51.4500999451,5.374529838559999,Eindhoven Airport
EGKK,118028,LGW,51.148102,-0.190278,London Gatwick Airport
LIRP,116710,PSA,43.683899,10.3927,Pisa International Airport
EDLV,114719,NRN,51.6024017334,6.14216995239,Weeze Airport
EIDW,108868,DUB,53.421299,-6.27007,Dublin Airport
LIPH,106324,TSF,45.648399,12.1944,Treviso-Sant'Angelo Airport
EGPK,102192,PIK,55.5093994140625,-4.586669921875,Glasgow Prestwick Airport
EDSB,99946,FKB,48.7793998718,8.08049964905,Karlsruhe Baden-Baden Airport
EGGW,97134,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
ESKN,96501,NYO,58.78860092163086,16.912200927734375,Stockholm Skavsta Airport
EGNX,91789,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGGP,90766,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
LIEE,90012,CAG,39.251499,9.05428,Cagliari Elmas Airport
LEZL,86655,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
EGHH,85782,BOH,50.77999877929688,-1.8424999713897705,Bournemouth Airport
EGGD,83494,BRS,51.382702,-2.71909,Bristol Airport
LIEA,80474,AHO,40.632099,8.29077,Alghero-Fertilia Airport
LIPE,76154,BLQ,44.5354,11.2887,Bologna Guglielmo Marconi Airport
